정당,등록시 정당명,대표자,등록연월일,말소연월일,사유,존속기간,비고,위키피디아,네이버 기관단체,한국민족문화대백과사전,나무위키,두산백과
한국사회민주당,민주사회당,이남순,2002.11.18,2004.3.3,명칭변경후 녹색평화당과 신설합당,1년3월,명칭변경 (민주사회당→한국사회민주당)신설합당(녹색사민당),,,,,
하나로국민연합,,이한동,2002.11.21,2004.2.20,자진해산,1년3월,,,,,,
국태민안호국당,,김길수,2002.11.27,2004.9.13,등록취소 (성립요건 흠결),1년10월,,,,,,
개혁국민정당,,유시민,2002.12.10,2004.9.13,등록취소 (성립요건 흠결),1년9월,,,,,,
천주평화통일 가정당,,곽정환,2003.3.17,2007.3.17,등록취소 (선거 미참여),4년2일,,,,,,
민주화합당,한민족통일연합,박태우,2003.5.7,2004.4.20,등록취소 (선거참여 득표미달),11월,명칭변경 (한민족통일연합→민주화합당),,,,,
열린우리당,,김원기,2003.11.17,2007.8.8,대통합민주신당에 흡수합당,3년8월,,,,,,
녹색사민당,,장기표,2004.3.3,2004.4.20,등록취소 (선거참여 득표미달),2월,,,,,,
기독민주복지당,국민복지당,강홍조,2004.3.26,2012.3.21,기독자유민주당에 흡수합당,7년11월,명칭변경 (국민복지당→기독민주복지당),,,,,
가자희망2080,희망2080,노동선,2004.3.26,2004.4.20,등록취소 (선거참여 득표미달),25일,,,,,,
한국기독당,,최수환,2004.3.26,2004.4.20,등록취소 (선거참여 득표미달),25일,,,,,,
국민중심당,,"신국환, 심대평",2006.1.27,2008.2.12,자유선진당에 흡수합당,2년1월,,,,,,
시 민 당,,최용기,2006.4.17,2008.4.15,등록취소 (선거참여 득표미달),2년,,,,,,
희망사회당,,신석준,2006.4.25,2008.4.15,등록취소 (선거참여 득표미달),2년,명칭변경 (희망사회당 → 한국사회당),,,,,
한국의미래를 준비하는당,,"이용휘, 장석창",2006.5.3,2008.4.15,등록취소 (선거참여 득표미달),6년,명칭변경(한국의미래를 준비하는당 → 선진한국당 → 친박연합 → 국가재건친박연합),,,,,
새시대참사람연합,,전 관,2006.5.22,2012.4.12,등록취소 (선거참여 득표미달),1년11월,명칭변경 (새시대참사람연합 → 구국참사람연합),,,,,
자유평화당,평화당,이태희,2006.10.10,2012.4.12,등록취소 (선거참여 득표미달),5년6월,명칭변경 (자유평화당 → 영남신당자유평화당 → 한나라당),,,,,
시스템미래당,미래당,지만원,2007.3.29,2008.3.31,자진해산,1년,,,,,,
